record_id,state,district,latitude,longitude,elevation_m,slope_deg,aspect_deg,soil_type,land_cover,distance_to_road_m,distance_to_river_m,rainfall_1h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,historical_landslide_count_5km,date,landslide_probability_true,landslide_occurred,data_source
TG-003303,Arunachal Pradesh,Upper Siang,29.25486,91.95401,1551.2,33.98,97.5,Laterite,Built-up/Urban,193.6,522.5,22.6,64.1,144.7,311.3,400.5,3,12-02-2023,0.097,0,DEMO DATA
TG-003304,Mizoram,Lunglei,22.0541,93.31946,2601.3,24.94,152.4,Rocky/Gravelly,Agricultural Land,603.2,1131.7,42.3,,235,551,854.4,2,18-10-2020,0.1254,1,DEMO DATA
TG-003305,Assam,Karbi Anglong,25.33894,95.11822,881.4,7.16,91.4,Laterite,Barren/Rocky,77.6,1069.6,5.2,20.5,68.6,117.9,204.4,2,12-12-2025,0.0195,0,DEMO DATA
TG-003306,Meghalaya,South Garo Hills,25.38879,91.33475,1332.8,40.96,326.3,Silty Clay,Sparse Forest,577.7,587.3,29.6,108.4,237.3,514.6,1038.8,3,23-02-2024,0.2934,0,DEMO DATA
TG-003307,Manipur,Senapati,25.6199,94.22811,1003.5,15.28,181.7,,Agricultural Land,195,539,6.4,14.4,42.6,70.1,54.8,0,02-07-2022,0.0111,0,DEMO DATA
TG-003308,Manipur,Ukhrul,24.61865,94.37281,1216.6,29.63,246,Laterite,Agricultural Land,5,485.8,7.3,18.9,53.4,112.7,181.7,1,01-09-2022,0.0288,0,DEMO DATA
TG-003309,Manipur,Churachandpur,25.23581,93.62004,1840.3,18.46,6.4,Laterite,Sparse Forest,705,315.9,27.7,122.5,277.7,685.8,1267,2,14-09-2021,0.1243,0,DEMO DATA
TG-003310,Tripura,South Tripura,24.16086,92.04311,1716.5,8.67,256.9,Laterite,Agricultural Land,116.1,631.6,24.7,119.5,297.5,528.1,809.1,1,11-11-2015,0.0632,0,DEMO DATA
TG-003311,Nagaland,Mokokchung,26.38994,93.51295,1485.1,32.74,218.1,Loam,Built-up/Urban,211.6,29.7,18.4,58,110.6,224.2,400.8,1,22-08-2022,0.0372,1,DEMO DATA
TG-003312,Manipur,Ukhrul,24.8132,93.86273,1980.8,18.83,287.9,Loam,Dense Forest,145,789.9,9.4,39.6,79.6,123.1,174,0,10-11-2022,0.0073,0,DEMO DATA
TG-003313,Assam,Sonitpur,27.1311,91.32831,1238.4,15.99,233,Loam,Grassland,718.2,1558,52.3,177,371,907.9,1330.6,4,29-01-2016,0.1974,0,DEMO DATA
TG-003314,Assam,Sonitpur,27.72791,92.25009,33.1,16.6,114.6,Laterite,Dense Forest,438.2,1311.1,16.1,49.4,110.4,256.6,464.1,3,07-08-2020,0.0248,0,DEMO DATA
TG-003315,Arunachal Pradesh,Upper Siang,27.34909,96.13771,1042.9,,171.2,Clay Loam,Agricultural Land,12.3,386.5,0.6,0,0,1.7,15.5,3,19-03-2015,0.0447,0,DEMO DATA
TG-003316,Manipur,Imphal East,24.894,93.59834,1067,21.05,319.3,Sandy Loam,Built-up/Urban,787.3,407.1,2.1,4,0,1.3,0,0,29-06-2018,0.0081,0,DEMO DATA
TG-003317,Meghalaya,West Garo Hills,25.94075,92.37481,458,31.48,158.5,Loam,Grassland,70.5,2070.2,23.2,84.8,183.3,428.8,635.8,3,05-01-2022,0.0807,0,DEMO DATA
TG-003318,Tripura,West Tripura,23.89313,91.42891,156.6,0,242.4,Silty Clay,Agricultural Land,90.3,579.7,3.5,0,0,0,10.6,1,14-01-2019,0.0051,0,DEMO DATA
TG-003319,Sikkim,South Sikkim,27.7238,88.01866,2356.2,28.6,268.2,Loam,Dense Forest,40.8,45.5,11.6,29.9,96.8,167.3,314.6,1,18-01-2017,0.0174,0,DEMO DATA
TG-003320,Mizoram,Aizawl,23.30006,92.56807,709.7,33.3,138,Rocky/Gravelly,Sparse Forest,229,448.5,11.4,22.1,19.1,24.8,0,4,16-05-2018,0.0379,0,DEMO DATA
TG-003321,Arunachal Pradesh,West Siang,27.77859,94.51291,1531.7,25.31,173.1,Laterite,Dense Forest,145.2,807.8,13,32,87.9,127.2,181.9,2,15-12-2018,0.0208,0,DEMO DATA
TG-003322,Assam,Golaghat,26.29588,95.209,941.9,20.53,297.2,Laterite,Agricultural Land,894.2,78.6,6.6,44.3,81.7,183.1,310.8,3,09-03-2020,0.0344,0,DEMO DATA
TG-003323,Arunachal Pradesh,West Siang,28.32896,92.85924,1691,34.59,294.3,Laterite,Grassland,379.4,66.1,12.2,41.2,98.3,193.7,342.5,1,01-07-2019,0.0462,0,DEMO DATA
TG-003324,Assam,Nagaon,25.24324,90.89872,447.1,18.18,193.9,Clay Loam,Sparse Forest,122.9,1331,48.5,174.6,516.9,1200,1847.1,2,21-12-2025,0.4258,0,DEMO DATA
TG-003325,Arunachal Pradesh,Upper Siang,28.9612,95.75171,1431.3,39.21,79.6,Laterite,Agricultural Land,539.4,32.8,3.1,1.9,0,19.6,30.1,2,14-06-2018,0.034,0,DEMO DATA
TG-003326,Assam,Kamrup,27.77747,94.0829,1413.4,9.67,140,Silty Clay,Dense Forest,464,766.5,27.4,126,235.1,497.6,864,4,15-03-2018,0.0501,0,DEMO DATA
TG-003327,Arunachal Pradesh,Papum Pare,28.74053,94.71617,1797.1,32.08,69.6,Laterite,Dense Forest,364.4,831.3,11.7,37.3,93.9,118.6,131.9,4,20-10-2017,0.0385,0,DEMO DATA
TG-003328,Assam,Dima Hasao,25.25,91.89835,666.3,0,291.3,Laterite,Built-up/Urban,150.8,,14,39.9,62.9,162.5,220.8,2,24-09-2023,0.0121,0,DEMO DATA
TG-003329,Assam,Nagaon,26.94431,93.19439,1351.2,19.74,146.4,Clay Loam,Dense Forest,407.1,242.8,17.9,56,157.2,276,454.1,1,24-01-2023,0.0207,0,DEMO DATA
TG-003330,Arunachal Pradesh,Tawang,28.01974,93.53112,772.4,18.68,247.2,Rocky/Gravelly,Dense Forest,64.9,974.5,13.5,46.5,144.9,322.9,464.5,0,03-05-2018,0.021,0,DEMO DATA
TG-003331,Mizoram,Serchhip,23.76015,93.23788,2670.1,17.01,123.9,Sandy Loam,Agricultural Land,952.2,1028.1,9.9,32.5,75.3,211.8,334.5,2,20-04-2015,0.0185,0,DEMO DATA
TG-003332,Manipur,Tamenglong,24.11172,94.08337,1200.7,34.38,224.5,Loam,Sparse Forest,164,621.6,11.5,61.3,113.4,210.1,313.8,2,26-08-2022,0.0355,0,DEMO DATA
TG-003333,Assam,Dibrugarh,25.43615,93.66512,1159.8,11.78,116.8,Loam,Agricultural Land,554.6,408.6,21.8,38.8,77.7,145.9,229.3,0,17-08-2022,0.0086,0,DEMO DATA
TG-003334,Tripura,South Tripura,24.38678,91.30331,973.6,17.71,146.9,Silty Clay,Built-up/Urban,100.7,5,3.1,19.6,52.1,95.2,151.7,1,15-12-2023,0.0166,0,DEMO DATA
TG-003335,Meghalaya,East Khasi Hills,25.65345,91.236,933.7,21.36,175.5,Sandy Loam,Barren/Rocky,778.8,116.2,6.6,27.5,67.8,156.3,243.4,1,12-10-2016,0.0234,0,DEMO DATA
TG-003336,Nagaland,Zunheboto,26.15044,94.59453,3035,17.28,323.6,Sandy Loam,Dense Forest,116.4,1494.1,4.3,13.1,22.8,8.9,14.8,0,07-11-2025,0.0049,0,DEMO DATA
TG-003337,Manipur,Ukhrul,25.55203,94.51065,900.9,25.91,161.7,Rocky/Gravelly,Dense Forest,410.1,844.1,4.3,5.8,24.5,60.1,88.6,2,07-02-2017,0.0154,0,DEMO DATA
TG-003338,Arunachal Pradesh,Changlang,26.69933,94.29916,1441.5,40.95,32.7,Sandy Loam,Sparse Forest,257.5,465.1,36.4,93,186.8,489.5,785.3,2,18-03-2015,0.132,0,DEMO DATA
TG-003339,Assam,Cachar,27.47276,95.33694,1809.9,36.21,182.9,Rocky/Gravelly,Built-up/Urban,45,1692.3,24.2,103.3,246.1,407.9,718.6,1,26-09-2015,0.1922,0,DEMO DATA
TG-003340,Arunachal Pradesh,West Siang,28.34204,93.47835,927,35.18,339.4,Loam,Agricultural Land,233.2,618.4,31.1,81.8,182.8,478.3,787.8,4,17-09-2021,0.1431,0,DEMO DATA
TG-003341,Tripura,Sepahijala,22.95681,92.17732,1482.9,0,95.7,Silty Clay,Dense Forest,116.9,619.1,20.4,94.2,313.1,592.9,882.8,0,04-02-2025,0.0258,0,DEMO DATA
TG-003342,Meghalaya,Ri Bhoi,25.68679,90.22542,1990.7,31.09,318.6,Sandy Loam,Grassland,722.5,168.7,10.5,34.5,82,162.8,297.6,3,24-04-2021,0.038,0,DEMO DATA
TG-003343,Tripura,Gomati,24.36491,91.25492,48,28,190.4,Clay Loam,Dense Forest,623.7,1170,27.5,130.4,393.4,864.6,1093.5,0,18-12-2017,0.2088,0,DEMO DATA
TG-003344,Assam,Dibrugarh,27.32565,94.68379,558,5.1,154.1,Rocky/Gravelly,Sparse Forest,93,554.9,5.6,26,69.8,153.5,259.8,0,22-05-2023,0.0091,0,DEMO DATA
TG-003345,Mizoram,Saiha,22.70522,93.49603,429,48.31,293.8,Rocky/Gravelly,Grassland,1220.8,1350.1,2.8,0,1.1,7.9,34.6,4,15-12-2015,0.0601,0,DEMO DATA
TG-003346,Mizoram,Kolasib,23.65795,92.89011,1117.8,32.4,240.8,Loam,Barren/Rocky,341,2130.3,10.7,38,125.3,299.1,565.2,4,22-02-2018,0.0851,0,DEMO DATA
TG-003347,Arunachal Pradesh,Lohit,27.57501,95.45347,1291.4,27.82,347.7,Loam,Agricultural Land,348.4,1067.9,16.6,82.3,236.5,446,776,1,23-03-2021,0.0728,0,DEMO DATA
TG-003348,Arunachal Pradesh,Tawang,28.48407,97.03777,1988.6,21.03,250.1,Sandy Loam,Dense Forest,487.4,580.2,19.9,70.1,137,314.3,417.2,1,29-06-2021,0.0186,0,DEMO DATA
TG-003349,Nagaland,Tuensang,26.35202,93.80839,2305.1,38.89,124.7,Loam,Grassland,14.1,727.7,9.8,47.4,149,379.7,666.8,4,24-12-2019,0.1127,0,DEMO DATA
TG-003350,Mizoram,Saiha,23.68545,93.33946,633.9,27.45,205.2,Clay Loam,Grassland,473.2,224.2,13,37.6,79.5,192.1,360.8,4,17-12-2016,0.0478,0,DEMO DATA
TG-003351,Manipur,Tamenglong,24.90615,93.62851,885.6,58.7,306.4,Silty Clay,Barren/Rocky,145.5,805.6,63,162.1,401.5,651.9,1276.2,5,16-02-2023,0.9899,1,DEMO DATA
TG-003352,Meghalaya,Ri Bhoi,25.66966,91.73524,768,32.68,322.1,Clay Loam,Agricultural Land,361.7,1107.9,46.6,188.9,417.1,918.5,1475.7,3,15-01-2018,0.6776,0,DEMO DATA
TG-003353,Meghalaya,West Khasi Hills,25.5793,92.32522,1459.6,7.92,5.5,Rocky/Gravelly,Agricultural Land,652.3,537.3,13.4,64.2,189.2,419.6,655.4,2,09-07-2016,0.0407,0,DEMO DATA
TG-003354,Assam,Nagaon,24.95323,93.53262,837.4,7.44,230.8,Loam,Shrubland,867.9,1824.2,11.9,36.1,68.7,167.6,237.6,1,06-05-2017,0.0067,0,DEMO DATA
TG-003355,Nagaland,Zunheboto,25.81191,95.14215,1577.3,19.94,119.1,Rocky/Gravelly,Dense Forest,31,778.7,19.1,75.9,220.7,501.2,788.1,1,06-09-2017,0.0504,0,DEMO DATA
TG-003356,Manipur,Churachandpur,24.98018,93.52526,20,12.12,80.1,Rocky/Gravelly,Sparse Forest,593.9,203.2,19,65.1,178.8,390.5,523.8,0,19-10-2021,0.0272,0,DEMO DATA
TG-003357,Mizoram,Saiha,23.51783,92.39725,1413.4,13.98,147.2,Rocky/Gravelly,Dense Forest,403,33.2,4.6,9.8,36.9,85.6,153.6,2,05-07-2023,0.011,0,DEMO DATA
TG-003358,Nagaland,Dimapur,26.58497,94.37674,2355.8,30.87,225.1,Rocky/Gravelly,Sparse Forest,132.8,1187.1,37.3,118.9,270.9,479.1,951.3,11,02-07-2015,0.5656,0,DEMO DATA
TG-003359,Tripura,Sepahijala,24.40935,91.60643,1431.5,14.69,56,Loam,Sparse Forest,200,231.4,8.9,24.6,61.8,226.9,314.5,2,20-07-2015,0.0137,0,DEMO DATA
TG-003360,Sikkim,North Sikkim,28.1893,88.20082,463.6,18.72,14.6,Silty Clay,Barren/Rocky,129.5,656.3,5.7,17.6,70.3,189.7,259,1,26-10-2016,0.0277,0,DEMO DATA
TG-003361,Meghalaya,West Khasi Hills,25.68335,90.17207,1420.3,19.82,57.7,Sandy Loam,Shrubland,24,99.3,22.9,90.9,195,346.6,532.4,1,23-06-2024,0.0353,0,DEMO DATA
TG-003362,Arunachal Pradesh,Upper Siang,26.65493,97.33754,2163.4,38.91,203.9,Silty Clay,Agricultural Land,703.3,577.1,4.3,14.1,37.3,31.8,97.1,1,19-06-2017,0.0289,0,DEMO DATA
TG-003363,Manipur,Imphal East,24.71297,93.88689,1276,9.44,83.2,Clay Loam,Dense Forest,862.8,1284.4,9,21.6,60.1,102.2,166.1,0,08-09-2015,0.0048,0,DEMO DATA
TG-003364,Sikkim,South Sikkim,27.22035,88.78035,2240.2,,284.7,Clay Loam,Sparse Forest,2323.9,432,25.6,101.3,293.8,523.7,816.3,1,04-06-2019,0.0278,0,DEMO DATA
TG-003365,Nagaland,Kohima,25.50628,94.43047,383,38.11,71.8,Silty Clay,Dense Forest,904.1,356.5,8.4,30,78.5,167.4,204.4,0,08-06-2018,0.022,0,DEMO DATA
TG-003366,Meghalaya,West Khasi Hills,25.21987,92.68794,2360.5,32.91,335.8,Sandy Loam,Dense Forest,334.5,257.9,4.9,13.9,55.1,121.5,178.2,1,25-03-2024,0.0168,0,DEMO DATA
TG-003367,Sikkim,East Sikkim,27.08678,88.03553,551.4,27.4,147.2,Sandy Loam,Dense Forest,1599,631.2,9.2,34,98.7,223.6,410.9,2,03-06-2018,0.0197,0,DEMO DATA
TG-003368,Mizoram,Lunglei,22.50621,93.01465,2274.1,,315.9,Laterite,Agricultural Land,333.1,2074.2,31,143.1,295.6,736.3,1162.9,4,10-10-2020,0.269,0,DEMO DATA
TG-003369,Meghalaya,South Garo Hills,25.41364,91.2759,1508.5,37.69,286.3,Loam,Sparse Forest,121.3,20.6,14.2,50.2,136.5,294.1,521.1,0,20-01-2023,0.0392,0,DEMO DATA
TG-003370,Nagaland,Tuensang,26.9398,93.85695,1755.4,19.59,54.7,Laterite,Dense Forest,948.9,660.4,28.4,106.1,229.8,385.2,692,2,29-01-2025,0.0439,0,DEMO DATA
TG-003371,Sikkim,North Sikkim,27.97333,88.60694,1636.1,21.89,335.3,Clay Loam,Agricultural Land,335.8,298.1,15.4,49.9,81.9,185,261.5,4,12-12-2019,0.0382,0,DEMO DATA
TG-003372,Assam,Dibrugarh,24.90049,91.408,847,0,104.1,Silty Clay,Shrubland,274.3,1585.7,11.2,54.8,158.7,307,453.2,1,15-05-2024,0.013,0,DEMO DATA
TG-003373,Assam,Dima Hasao,25.07148,93.97675,1572.1,16.96,344.9,Loam,Dense Forest,188,640.8,15.8,51.7,144.7,280.5,504.8,0,04-02-2022,0.0121,0,DEMO DATA
TG-003374,Mizoram,Aizawl,23.89176,92.90267,2741.6,30.91,105.4,Laterite,Agricultural Land,713.8,1160.7,22.7,48.8,127,296,359.8,1,31-03-2019,0.049,0,DEMO DATA
TG-003375,Arunachal Pradesh,Tawang,29.30725,97.3133,1035.2,29.09,75.6,Loam,Grassland,546.6,749.3,20.3,67.9,130.9,194.7,272.7,1,27-09-2024,0.0258,0,DEMO DATA
TG-003376,Meghalaya,West Garo Hills,25.71273,90.18739,1712.2,23.8,168.9,Clay Loam,Dense Forest,275.7,176.6,21,91.8,193.1,411.7,551.7,4,18-07-2025,0.0621,0,DEMO DATA
TG-003377,Assam,Golaghat,26.39268,92.71399,20,15.38,254.2,,Dense Forest,87.4,574.6,14.4,50.9,126.8,275.1,481.7,1,06-07-2017,0.0197,0,DEMO DATA
TG-003378,Arunachal Pradesh,Upper Siang,26.61864,91.64597,1433,49.57,117.4,Laterite,Dense Forest,390.8,152.6,10.4,36.7,97.8,216.5,307,2,20-02-2022,0.0692,0,DEMO DATA
TG-003379,Nagaland,Wokha,25.82388,94.53247,2001.2,20.73,342.5,Rocky/Gravelly,Built-up/Urban,139.1,13.9,20.1,57.8,77.5,103.2,138.4,3,13-04-2016,0.0352,0,DEMO DATA
TG-003380,Tripura,South Tripura,22.96977,92.04746,1109.1,22.53,292,Rocky/Gravelly,Dense Forest,288.5,1209.5,17.2,53,119.4,273.5,451.9,0,10-04-2022,0.0197,0,DEMO DATA
TG-003381,Manipur,Imphal West,24.1495,94.05811,20,20.14,300.6,Rocky/Gravelly,Dense Forest,318.9,16.7,20.2,59.9,209.4,449.3,771.2,4,26-12-2016,0.0831,0,DEMO DATA
TG-003382,Assam,Sonitpur,24.81945,92.60697,29.7,5.78,115.6,Laterite,Sparse Forest,1742.9,1655,20.9,73,182.4,425.1,643.7,2,18-11-2015,0.0254,0,DEMO DATA
TG-003383,Assam,Dima Hasao,27.56354,90.72509,1606.6,11,84.4,Silty Clay,Agricultural Land,5,14.4,13.1,,69.1,163.4,206.7,5,08-10-2021,0.0299,0,DEMO DATA
TG-003384,Assam,Sonitpur,26.61365,92.36409,1555.8,0,229,Silty Clay,Agricultural Land,165.8,1252.5,13.5,54.7,170.4,308.9,518.3,0,20-03-2015,0.0132,0,DEMO DATA
TG-003385,Arunachal Pradesh,West Kameng,27.071,95.59258,290.4,37.73,157,Loam,Barren/Rocky,88.3,529.6,15.1,49.6,105,157.2,293.6,2,25-02-2020,0.0617,0,DEMO DATA
TG-003386,Meghalaya,South Garo Hills,26.0282,90.77597,1639.5,,230.2,Clay Loam,Dense Forest,148.9,33.5,19.2,70.2,161.9,358.7,555,0,09-08-2022,0.0155,0,DEMO DATA
TG-003387,Assam,Golaghat,26.91974,93.7278,453.1,13.11,170.3,Clay Loam,Agricultural Land,752,380.8,34.7,94.9,296.5,651.2,1279.8,2,23-11-2025,0.1052,1,DEMO DATA
TG-003388,Sikkim,South Sikkim,27.99532,88.15096,1190.5,18.05,152.5,,Agricultural Land,289.5,3320.5,8.4,51.2,141.6,338,598.6,2,12-03-2023,0.0413,0,DEMO DATA
TG-003389,Assam,Dibrugarh,26.32975,93.31611,20,0,94,Rocky/Gravelly,Barren/Rocky,111.4,190.6,9.5,23.6,75.4,184.2,306.3,0,08-05-2023,0.0136,0,DEMO DATA
TG-003390,Meghalaya,South Garo Hills,26.05929,91.00934,2202.3,,289.2,Loam,Shrubland,47.3,13.4,5.9,19.1,50.7,119.8,232.1,4,29-07-2017,0.0583,0,DEMO DATA
TG-003391,Meghalaya,West Garo Hills,25.35081,91.61319,2021.4,16.79,191.7,Silty Clay,Dense Forest,588.6,183,12.9,,160.2,394.6,528.4,2,14-02-2024,0.0286,0,DEMO DATA
TG-003392,Nagaland,Mokokchung,26.29761,94.41404,20,22.72,139.1,Rocky/Gravelly,Dense Forest,365,990.1,18.8,93.4,257.5,621.1,1189.6,0,25-07-2019,0.0729,0,DEMO DATA
TG-003393,Meghalaya,East Khasi Hills,26.0325,91.44523,603.2,33.23,316.1,Silty Clay,Agricultural Land,838.4,284.5,28.2,114.4,363.3,858.8,1294.1,3,12-05-2023,0.5768,1,DEMO DATA
TG-003394,Manipur,Churachandpur,24.7377,94.35721,836.4,18.15,291.6,Loam,Built-up/Urban,126.7,662.6,7.3,23.8,69.4,142.1,162.6,1,05-12-2021,0.0139,0,DEMO DATA
TG-003395,Assam,Kamrup,24.92248,94.73629,754.3,12.1,73.5,Laterite,Dense Forest,19,2345.5,3.3,11,4.4,2.7,6.5,1,24-02-2024,0.0053,0,DEMO DATA
TG-003396,Assam,Kamrup,25.3689,94.28982,1233.2,0,267.9,Silty Clay,Sparse Forest,98,457.2,9.1,33.4,91.8,138.3,142.2,0,12-04-2019,0.0061,0,DEMO DATA
TG-003397,Arunachal Pradesh,Papum Pare,27.9639,95.65196,2331.2,14.49,270.2,Loam,Shrubland,260.6,694.7,21.8,73.9,133.6,357.1,454.5,1,28-06-2015,0.0193,0,DEMO DATA
TG-003398,Assam,Karbi Anglong,27.07367,95.12754,20,11.95,245.3,Sandy Loam,Grassland,545.7,76.5,38.9,118.9,257.9,473.6,721.3,1,11-02-2018,0.0427,0,DEMO DATA
TG-003399,Assam,Golaghat,25.14234,95.62668,2021.4,26.49,1.9,Loam,Dense Forest,97.9,769.7,5.2,13.5,10.9,41.9,38.7,1,21-11-2024,0.0081,0,DEMO DATA
TG-003400,Sikkim,North Sikkim,27.96687,88.41093,1982.8,19.33,9.2,Rocky/Gravelly,Shrubland,453.2,139.3,32.4,86.9,190.5,464.4,622.6,4,17-01-2025,0.0928,0,DEMO DATA
TG-003401,Nagaland,Wokha,26.48301,95.60854,979.7,24.85,355.7,Sandy Loam,Shrubland,122.8,68.1,11.9,50.5,114.9,235.4,366,3,13-04-2021,0.0382,0,DEMO DATA
TG-003402,Meghalaya,West Khasi Hills,25.32096,90.38592,2795.7,27.07,119.1,Rocky/Gravelly,Sparse Forest,273.9,1063.9,7.9,25.1,84.3,124.7,209.8,2,25-12-2017,0.0312,0,DEMO DATA
TG-003403,Nagaland,Kohima,26.93531,93.3713,3229.7,24.36,28.9,Silty Clay,Sparse Forest,179.2,99.8,34.8,149.2,440.6,871.5,1255,0,17-03-2018,0.2568,0,DEMO DATA
TG-003404,Sikkim,North Sikkim,27.10678,88.37823,983,36.62,228.5,Clay Loam,Sparse Forest,349.5,623.9,24.3,92.1,252.4,525.8,789.3,5,27-10-2021,0.3126,1,DEMO DATA
TG-003405,Arunachal Pradesh,Upper Siang,29.27864,97.22856,2371.2,32.38,146.3,Laterite,Sparse Forest,458.5,23.3,40,145.2,345.8,806.2,1301.3,3,13-12-2025,0.5075,0,DEMO DATA
TG-003406,Assam,Sonitpur,25.21181,94.23393,869.8,21.3,48.5,Silty Clay,Agricultural Land,191.4,230.5,11.2,24.1,42.5,65.1,156.7,0,15-08-2020,0.0137,0,DEMO DATA
TG-003407,Assam,Nagaon,24.22098,90.49303,1078.9,0,137.3,Silty Clay,Built-up/Urban,364.1,123.2,11.8,50.6,135.6,276.1,426.2,2,13-05-2016,0.0177,0,DEMO DATA
TG-003408,Arunachal Pradesh,West Kameng,27.20167,94.73615,2669.8,16.62,274.9,Laterite,Shrubland,933.7,610.1,18.7,61.8,150.4,373,500.7,0,30-08-2017,0.0265,0,DEMO DATA
TG-003409,Assam,Kamrup,26.67541,95.01121,903.6,0,202.1,Rocky/Gravelly,Dense Forest,964.8,332.2,10.3,42.9,86.8,127.3,209.9,0,11-03-2016,0.005,0,DEMO DATA
TG-003410,Nagaland,Zunheboto,26.46138,94.67407,2853.5,27.59,321.2,Laterite,Dense Forest,96.4,191.7,19,84.8,229.1,516.4,689.6,1,29-12-2025,0.08,0,DEMO DATA
TG-003411,Tripura,West Tripura,23.66815,91.66572,1892.8,19.23,274.7,Clay Loam,Built-up/Urban,371,173.3,1.4,13.5,64.7,197.7,308.9,0,19-10-2016,0.0171,0,DEMO DATA
TG-003412,Tripura,Sepahijala,23.91179,91.50273,1711.9,4.33,39.8,Loam,Sparse Forest,386.7,693.5,20.2,61.4,109.5,178.3,256.7,2,11-11-2016,0.0092,0,DEMO DATA
TG-003413,Assam,Cachar,24.8751,93.99048,186.6,17.56,91.6,Rocky/Gravelly,Sparse Forest,197.8,434.2,40,129.4,262.2,564.4,911.4,4,16-12-2019,0.1357,0,DEMO DATA
TG-003414,Arunachal Pradesh,Lower Subansiri,28.48046,95.92142,2685.9,28.22,243.9,Clay Loam,Dense Forest,1175.6,1183,8.8,24.4,34.5,90.9,146.3,3,08-08-2015,0.0167,0,DEMO DATA
TG-003415,Mizoram,Aizawl,24.47268,93.11365,1086.1,19.24,243.8,Silty Clay,Grassland,428.6,385.4,15,59.8,99.8,161,237.5,2,01-02-2021,0.0238,0,DEMO DATA
TG-003416,Meghalaya,West Khasi Hills,25.78849,90.4829,1573,64.4,269.5,Rocky/Gravelly,Dense Forest,549,501.3,12.5,34.1,78,124.4,119.5,3,26-04-2022,0.1139,0,DEMO DATA
TG-003417,Tripura,Dhalai,24.21713,91.99723,648.8,31.09,207.4,Sandy Loam,Agricultural Land,2882.3,127.2,16.6,66.9,205.6,395.1,764.5,1,23-08-2021,0.0731,0,DEMO DATA
TG-003418,Manipur,Imphal East,24.78599,93.77119,1178.3,12.02,106.7,Rocky/Gravelly,Dense Forest,467.6,176.1,16.3,35,67.8,135.3,255.6,1,17-01-2025,0.0103,0,DEMO DATA
TG-003419,Assam,Dibrugarh,26.57822,93.63378,1885.7,0,162.4,Silty Clay,Dense Forest,76.4,74.5,2.4,7.6,29.6,24.5,74.8,1,24-11-2023,0.0039,0,DEMO DATA
TG-003420,Manipur,Imphal West,24.03199,93.03105,1655.2,32.68,356.4,Loam,Dense Forest,574.3,613,10,39.6,99.1,245.1,376.8,4,08-06-2015,0.0359,0,DEMO DATA
TG-003421,Meghalaya,East Khasi Hills,25.27636,92.42264,1109.6,15.86,284,Silty Clay,Dense Forest,700.7,311.2,27.2,63.2,102,228.4,290.7,0,31-01-2018,0.0107,0,DEMO DATA
TG-003422,Sikkim,South Sikkim,28.1888,88.46741,922.7,40.99,73.1,Sandy Loam,Dense Forest,297.4,557.7,14.4,39.5,105.2,194.6,339.7,3,24-03-2024,0.0458,0,DEMO DATA
TG-003423,Sikkim,East Sikkim,27.29637,88.54283,2551.8,36.47,29.2,Loam,Barren/Rocky,256.7,91.1,4.4,15.1,66.5,112.5,185.9,3,04-08-2022,0.0565,0,DEMO DATA
TG-003424,Meghalaya,South Garo Hills,26.0639,90.20881,1987.6,,338.4,,Agricultural Land,312.5,178.3,73.6,218.2,600,1113.2,2067.4,2,27-02-2016,0.9957,1,DEMO DATA
TG-003425,Meghalaya,West Khasi Hills,25.65324,90.70561,753,25.13,261.4,Clay Loam,Built-up/Urban,807.3,742.9,4.4,0,0.8,0,0,1,24-01-2016,0.0128,0,DEMO DATA
TG-003426,Meghalaya,West Garo Hills,25.07506,90.56546,,27.57,50.8,Clay Loam,Sparse Forest,484,764.1,87.5,246.1,504.4,1074.8,1735.5,3,20-10-2024,0.6577,1,DEMO DATA
TG-003427,Assam,Cachar,24.37472,90.70791,269.2,1.38,95.4,Loam,Dense Forest,568.6,18.8,28.2,109.7,228.8,438.2,814.2,0,24-09-2017,0.0126,0,DEMO DATA
TG-003428,Sikkim,South Sikkim,27.4673,88.02166,1101.5,19.07,115.3,Sandy Loam,Barren/Rocky,546.1,429.7,7.6,18.9,27.9,78,117.6,3,18-01-2020,0.0228,0,DEMO DATA
TG-003429,Assam,Cachar,26.83072,95.5492,699.6,15.91,247.7,Silty Clay,Dense Forest,206.5,92.4,9.5,,53.5,86.7,104.7,2,03-12-2015,0.011,0,DEMO DATA
TG-003430,Meghalaya,Ri Bhoi,25.73798,90.67154,778.5,23.98,120.7,Sandy Loam,Barren/Rocky,72.6,292.3,28.4,119.8,307.3,797.9,981.9,3,20-10-2025,0.2638,1,DEMO DATA
TG-003431,Mizoram,Kolasib,22.13538,92.43613,2379.8,26.12,202.6,Laterite,Dense Forest,1390.4,72,23.1,88.2,222.5,428.4,803.5,2,03-05-2020,0.0677,0,DEMO DATA
TG-003432,Assam,Karbi Anglong,25.45716,91.43819,963.7,12.05,345.6,Silty Clay,Built-up/Urban,440.2,379.2,26.9,109.8,244.3,602.7,930.9,2,16-04-2016,0.0779,0,DEMO DATA
TG-003433,Tripura,Dhalai,23.62586,92.1795,943.1,47.3,76.5,Laterite,Dense Forest,366.5,637,6.4,18.1,20.2,80.4,135.4,2,25-06-2024,0.0371,0,DEMO DATA
